dataset,column,datatype,rows,missing_values,missing_percentage,unique_values
listings,id,int64,490,0,0.0,490
listings,listing_url,object,490,0,0.0,490
listings,scrape_id,int64,490,0,0.0,1
listings,last_scraped,object,490,0,0.0,2
listings,source,object,490,0,0.0,2
listings,name,object,490,0,0.0,489
listings,description,object,490,9,1.84,420
listings,neighborhood_overview,float64,490,490,100.0,0
listings,picture_url,object,490,0,0.0,482
listings,host_id,int64,490,0,0.0,186
listings,host_url,object,490,0,0.0,186
listings,host_profile_id,int64,490,0,0.0,186
listings,host_profile_url,object,490,0,0.0,186
listings,host_name,object,490,0,0.0,169
listings,host_since,float64,490,490,100.0,0
listings,hosts_time_as_user_years,int64,490,0,0.0,16
listings,hosts_time_as_user_months,int64,490,0,0.0,12
listings,hosts_time_as_host_years,int64,490,0,0.0,13
listings,hosts_time_as_host_months,int64,490,0,0.0,12
listings,host_location,object,490,142,28.98,31
listings,host_about,object,490,230,46.94,95
listings,host_response_time,float64,490,490,100.0,0
listings,host_response_rate,float64,490,490,100.0,0
listings,host_acceptance_rate,float64,490,490,100.0,0
listings,host_is_superhost,object,490,0,0.0,2
listings,host_thumbnail_url,float64,490,490,100.0,0
listings,host_picture_url,object,490,0,0.0,183
listings,host_neighbourhood,float64,490,490,100.0,0
listings,host_listings_count,int64,490,0,0.0,24
listings,host_total_listings_count,float64,490,490,100.0,0
listings,host_verifications,float64,490,490,100.0,0
listings,host_has_profile_pic,object,490,0,0.0,2
listings,host_identity_verified,object,490,0,0.0,2
listings,neighbourhood,float64,490,490,100.0,0
listings,neighbourhood_cleansed,object,490,0,0.0,15
listings,neighbourhood_group_cleansed,float64,490,490,100.0,0
listings,latitude,float64,490,0,0.0,459
listings,longitude,float64,490,0,0.0,469
listings,property_type,object,490,0,0.0,21
listings,room_type,object,490,0,0.0,4
listings,accommodates,int64,490,0,0.0,14
listings,bathrooms,float64,490,45,9.18,10
listings,bathrooms_text,object,490,4,0.82,18
listings,bedrooms,float64,490,112,22.86,9
listings,beds,float64,490,44,8.98,9
listings,amenities,object,490,0,0.0,474
listings,price,object,490,32,6.53,322
listings,price_quote_checkin_date,object,490,22,4.49,88
listings,price_quote_checkout_date,object,490,22,4.49,107
listings,price_quote_total_price,float64,490,32,6.53,321
listings,price_quote_price_per_night,float64,490,32,6.53,322
listings,price_quote_raw,object,490,22,4.49,448
listings,minimum_nights,float64,490,1,0.2,22
listings,maximum_nights,float64,490,1,0.2,32
listings,minimum_minimum_nights,float64,490,1,0.2,22
listings,maximum_minimum_nights,float64,490,1,0.2,23
listings,minimum_maximum_nights,float64,490,1,0.2,36
listings,maximum_maximum_nights,float64,490,1,0.2,32
listings,minimum_nights_avg_ntm,float64,490,0,0.0,52
listings,maximum_nights_avg_ntm,float64,490,0,0.0,41
listings,calendar_updated,float64,490,490,100.0,0
listings,has_availability,object,490,5,1.02,1
listings,availability_30,int64,490,0,0.0,31
listings,availability_60,int64,490,0,0.0,60
listings,availability_90,int64,490,0,0.0,86
listings,availability_365,int64,490,0,0.0,214
listings,calendar_last_scraped,object,490,0,0.0,2
listings,number_of_reviews,int64,490,0,0.0,150
listings,number_of_reviews_ltm,int64,490,0,0.0,67
listings,number_of_reviews_l30d,int64,490,0,0.0,13
listings,availability_eoy,int64,490,0,0.0,146
listings,number_of_reviews_ly,int64,490,0,0.0,71
listings,estimated_occupancy_l365d,int64,490,0,0.0,58
listings,estimated_revenue_l365d,float64,490,32,6.53,344
listings,first_review,object,490,60,12.24,371
listings,last_review,object,490,60,12.24,196
listings,review_scores_rating,float64,490,60,12.24,73
listings,review_scores_accuracy,float64,490,60,12.24,70
listings,review_scores_cleanliness,float64,490,60,12.24,75
listings,review_scores_checkin,float64,490,60,12.24,59
listings,review_scores_communication,float64,490,60,12.24,52
listings,review_scores_location,float64,490,60,12.24,95
listings,review_scores_value,float64,490,60,12.24,81
listings,license,float64,490,490,100.0,0
listings,instant_bookable,float64,490,490,100.0,0
listings,calculated_host_listings_count,int64,490,0,0.0,16
listings,calculated_host_listings_count_entire_homes,int64,490,0,0.0,14
listings,calculated_host_listings_count_private_rooms,int64,490,0,0.0,9
listings,calculated_host_listings_count_shared_rooms,int64,490,0,0.0,2
listings,reviews_per_month,float64,490,60,12.24,253
